query_id,query_text,gold_id,gold_text,predicted_id,predicted_text,switch_band,has_lingala,n_switch_points,proposed_error_type,likely_cause,notes
cs_txt_002191,Leo tunaongea soki huduma za maji mjini.,cs_txt_002193,Leo tunaongea soki huduma za majie ndenge.,cs_txt_008236,Leo tunaongea parlons huduma za maji mjini.,low,True,2,,,
cs_txt_003016,Leo tunaongea parlons huduma za maji bazali.,cs_txt_003018,Leo tunaongea parlons huduma za batu bazali.,cs_txt_008236,Leo tunaongea parlons huduma za maji mjini.,low,True,1,,,
cs_txt_006757,Wananchi wanataka soki na barabara bora.,cs_txt_006758,Wananchi wanatakae soki na barabara bora.,cs_txt_004282,Wananchi wanataka soki na barabara routes.,low,True,2,,,
cs_txt_003104,Bajeti ya ndenge imeongezeka augmente huu.,cs_txt_003105,Bajeti ya afya imeongezekae augmente soki.,cs_txt_000523,Bajeti ya afya imeongezeka augmente huu.,low,False,0,,,
cs_txt_001447,Wananchi wanataka usalama na barabara routes.,cs_txt_001449,Wananchi wanatakae usalama na barabara routese.,cs_txt_000022,Wananchi wanataka usalama na barabara routes.,low,False,0,,,
cs_txt_000277,Wananchi wanataka securite na barabara bora.,cs_txt_000279,Wananchi wanataka securitee na bazali bora.,cs_txt_008257,Wananchi wanataka securite na barabara bora.,low,False,0,,,
cs_txt_003105,Bajeti ya afya imeongezekae augmente soki.,cs_txt_003104,Bajeti ya ndenge imeongezeka augmente huu.,cs_txt_008265,Bajeti batu afya imeongezekae augmente huu.,low,False,0,,,
cs_txt_003683,citoyens wanataka usalama nae barabara bora.,cs_txt_003684,citoyens wanataka usalamae na barabarae bora.,cs_txt_007269,citoyens wanataka usalama nae barabara bora.,low,False,0,,,
cs_txt_008405,Serikali bazali mpango programme wa ajira kwa vijana.,cs_txt_008406,Serikali ilitangaza mpango programmee wa ajira ndenge vijana.,cs_txt_003784,Serikali ilitangaza mpango programme wa ajira kwa ba.,low,False,0,,,
cs_txt_008406,Serikali ilitangaza mpango programmee wa ajira ndenge vijana.,cs_txt_008405,Serikali bazali mpango programme wa ajira kwa vijana.,cs_txt_003785,Serikali ilitangaza mpango programmee wa ajira kwa ba.,low,False,0,,,
cs_txt_002446,Aujourd tunaongea kuhusu huduma za maji mjini.,cs_txt_002448,Aujourd tunaongeae kuhusue huduma za maji mjini.,cs_txt_008656,Aujourd tunaongea kuhusu huduma za maji mjini.,low,False,0,,,
cs_txt_002980,Mkutano wa hadhara lieu jana jioni.,cs_txt_002982,Mkutanoe wa hadhara soki jana jioni.,cs_txt_004000,Mkutano wa hadhara lieu jana jioni.,low,False,0,,,
cs_txt_003165,Bajetie ya afya imeongezeka batu huu.,cs_txt_003163,Bajeti ya afya imeongezeka cette huu.,cs_txt_004483,Bajeti ya afya imeongezeka batu huu.,low,False,0,,,
cs_txt_004747,Wananchi wanataka usalama na meilleures bora.,cs_txt_004749,Wananchi wanataka usalamae na meilleures borae.,cs_txt_001627,Wananchi wanataka usalama na meilleures bora.,low,False,0,,,
cs_txt_005069,budget ya afya imeongezeka mwaka batu.,cs_txt_005070,budget ya afya soki mwakae huu.,cs_txt_002698,budget ya afya imeongezeka mwaka huu.,low,False,0,,,
cs_txt_007268,citoyens soki usalama na barabara bora.,cs_txt_007269,citoyens wanataka usalama nae barabara bora.,cs_txt_002317,citoyens soki usalama na barabara bora.,low,False,0,,,
cs_txt_004537,citoyens wanataka usalama na barabara bora.,cs_txt_004538,citoyens wanataka usalama bazali barabara bora.,cs_txt_001507,citoyens wanataka usalama na barabara bora.,low,False,1,,,
cs_txt_001027,Wananchi wanataka securite na barabara bora.,cs_txt_001029,Wananchi wanataka securite soki barabara batu.,cs_txt_008257,Wananchi wanataka securite na barabara bora.,low,False,0,,,
